ID-Name,RA (2000),DEC,L,B,R_Sun,R_gc,X,Y,Z
NGC10447Tuc,002405.67,-720452.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.5464
NGC288,005245.24,-263457.4,152.30,-89.38,8.9,12.0,-0.1,0.0,-8.7928
NGC362,010314.26,-705055.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2
Whiting1,020257,-031510,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3
NGC1261,031216.21,-551258.4,270.54,-52.12,16.3,18.1,0.1,-10.0,-15.6483
Pal1,033320.04,+793451.8,130.06,19.03,11.1,17.2,-6.8,8.1,3.6
AM1E1,035502.3,-493655,258.34,-48.47,99.3294,124.6,-16.5,-80.1,-92.3
Eridanus,042444.5,-211113,218.10,-41.33,90.1,95.0,-53.2,-41.7,-59.5
Pal2,044605.91,+312253.4,170.53,-9.07,44.4012,35.0,-26.4,4.4,-4.3
NGC1851,051406.76,-400247.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9
NGC1904M79,052411.09,-243129.0,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3
NGC2298,064859.41,-360019.1,245.63,-16.00,10.8,15.8,-4.3,-9.4,3.1094
NGC2419,073808.47,+385256.8,180.37,25.24,280.0795,89.9,-74.7,-0.5,35.2
Ko2,075817.0,+261518,195.12,25.54,34.7,41.9,-30.2,-8.2,15.0
Pyxis,090757.8,-371317,261.32,7.00,39.4,41.4,-5.9,-38.7,4.8
NGC2808,091203.10,-645148.6,282.19,-11.25,9.6,11.1,2.0,-9.2,-1.9
E3,092057.07,-771654.8,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6
Pal3,100531.9,+000418,240.15,41.86,92.5,95.7,-34.3,-59.7,61.7
NGC3201,101736.82,-462444.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7
Pal4,112916.80,+285824.9,202.31,71.80,108.7,111.2,-31.4,-12.9,103.2
Ko1,115918.5,+121536,260.99,70.75,48.3,49.3,-2.5,-15.7,45.6
NGC4147,121006.30,+183233.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8
NGC4372,122545.40,-723932.4,300.99,-9.88,5.8,7.1,2.9,-4.9,2.55
Rup106,123840.2,-510901,300.88,11.67,22.6514,18.5,10.7,-17.8,4.3
NGC4590M68,123927.98,-264438.6,299.63,36.05,10.3,10.2,4.1,-7.2,6.0
NGC4833,125933.92,-705235.4,303.60,-8.02,6.6,7.0,3.6,-5.4,-0.9
NGC5024M53,131255.25,+181005.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6
NGC5053,131627.09,+174200.9,335.70,78.95,17.4,17.8,3.0,-1.4,17.1
NGC5139omegaCen,132647.24,-472846.5,309.10,14.97,5.2,6.4,3.1,-3.9,1.3
NGC5272M3,134211.62,+282238.2,42.22,78.71,10.2,12.0,1.5,1.3,10.0
NGC5286,134626.81,-512227.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1
AM4,135621.7,-271003,320.28,33.51,32.2,27.8,20.7,-17.2,17.8
NGC5466,140527.29,+283204.0,42.15,73.59,16.0,16.3,3.3,3.0,15.3
NGC5634,142937.23,-055835.1,342.21,49.26,25.2,21.2,15.7,-5.0,19.1
NGC5694,143936.29,-263220.2,331.06,30.36,35.0,29.4,26.4,-14.6,17.7
IC4499,150018.45,-821249.3,307.35,-20.47,18.8,15.7,10.7,-14.0,-6.6
NGC5824,150358.63,-330405.6,332.56,22.07,32.1,25.9,26.4,-13.7,12.1
Pal5,151605.25,-000641.8,0.85,45.86,23.2,18.6,16.2,0.2,16.7
NGC5897,151724.50,-210037.0,342.95,30.29,12.5,7.4,10.3,-3.2,6.3
NGC5904M5,151833.22,+020451.7,3.86,46.80,7.5,6.2,5.1,0.3,5.5
NGC5927,152800.69,-504022.9,326.60,4.86,7.7,4.6,6.4,-4.2,0.7
NGC5946,153528.52,-503934.8,327.58,4.19,10.6,5.8,8.9,-5.6,-9.1863
BH176,153907.45,-500309.8,328.41,4.34,18.9,12.9,16.1,-9.9,1.4
NGC5986,154603.00,-374711.1,337.02,13.27,-18.9055,4.8,9.3,-4.0,2.4
Lynga7BH184,161103.65,-551904.0,328.77,-2.80,8.0,4.3,6.8,-4.1,-0.4
Pal14AvdB,161100.6,+145728,28.74,42.19,76.5,71.6,49.7,27.3,51.4
NGC6093M80,161702.41,-225833.9,352.67,19.46,16.6665,3.8,9.4,-1.2,3.3
NGC6121M4,162335.22,-263132.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6
NGC6101,162548.12,-721207.9,317.74,-15.82,15.4,11.2,11.0,-10.0,1.7218
NGC6144,162713.86,-260124.6,351.93,15.70,8.9,2.7,8.5,-1.2,2.4
NGC6139,162740.37,-385055.5,342.37,6.94,10.1,3.6,9.6,-3.0,1.2
Terzan3,162840.08,-352112.5,345.08,9.19,8.2,2.5,7.8,-2.1,1.3
NGC6171M107,163231.86,-130313.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5
1636-283ESO452-SC11,163925.45,-282355.3,351.91,12.10,8.3,2.1,8.0,-1.1,1.7
NGC6205M13,164141.24,+362735.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7
NGC6229,164658.79,+473139.9,73.64,40.31,30.5,29.8,6.5,22.3,19.7
NGC6218M12,164714.18,-015654.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1
FSR1735,165210.6,-470329,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3
NGC6235,165325.31,-221038.8,358.92,13.52,11.5,4.2,11.2,-0.2,2.7
NGC6254M10,165709.05,-040601.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7
NGC6256,165932.62,-370717.0,347.79,3.31,16.8943,3.0,10.0,-2.2,0.6
Pal15,165951.0,-003220,18.88,24.30,57.8405,38.4,38.9,13.3,18.6
NGC6266M62,170112.80,-300649.4,353.57,7.32,6.8,1.7,6.7,-0.8,5.8534
NGC6273M19,170237.80,-261604.7,356.87,9.38,8.8,1.7,-2.5915,-0.5,1.4
NGC6284,170428.51,-244553.5,358.35,9.94,-17.6191,7.5,15.0,-0.4,2.6
NGC6287,170509.13,-224230.1,0.13,11.02,9.4,2.1,9.2,0.0,1.8
NGC6293,171010.20,-263455.5,357.62,7.83,9.5,1.9,9.4,-0.4,1.3
NGC6304,171432.25,-292743.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6
NGC6316,171637.30,-280824.4,357.18,5.76,10.4,2.6,10.4,-0.5,1.0
NGC6341M92,171707.39,+430809.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7
NGC6325,171759.21,-234557.6,0.97,8.00,7.8,1.1,7.7,0.1,1.1
NGC6333M9,171911.26,-183057.4,5.54,10.71,7.9,1.7,7.7,0.7,1.5
NGC6342,172110.08,-193514.7,4.90,9.72,8.5,1.7,8.4,0.7,1.4
NGC6356,172334.93,-174846.9,6.72,10.22,15.1,7.5,14.7,1.7,2.7
NGC6355,172358.59,-262112.3,359.59,5.43,9.2,1.4,9.2,-0.1,0.9
NGC6352,172529.11,-482519.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7
IC1257,172708.5,-070535,16.54,15.15,25.0,17.9,23.2,6.9,6.5
Terzan2HP3,172733.10,-304808.4,356.32,2.30,7.5,0.8,7.5,-0.5,0.3
NGC6366,172744.24,-050447.5,18.41,16.04,3.5,5.0,3.2,1.1,1.0
Terzan4HP4,173039.00,-313543.9,356.02,1.31,7.2,1.0,7.2,-0.5,0.2
HP1BH229,173105.2,-295854,357.44,2.12,8.2,0.5,8.2,-0.4,0.3
NGC6362,173154.99,-670254.0,325.55,-17.57,7.6,5.1,6.0,-4.1,-2.3
Liller1,173324.50,-332320.4,354.84,-0.16,8.2,0.8,8.2,-0.7,0.0
NGC6380Ton1,173428.0,-390409,350.18,-3.42,10.9,3.3,10.7,-1.9,2.9956
Terzan1HP2,173547.8,-302811,357.57,1.00,6.7,1.3,3.0446,-0.3,0.1
Ton2Pismis26,173610.5,-383312,350.80,-3.42,8.2,1.4,8.1,-1.3,-0.5
NGC6388,173617.23,-444407.8,345.56,-6.74,9.9,3.1,9.6,-2.5,-1.2
NGC6402M14,173736.10,-031445.3,21.32,14.81,9.3,4.0,8.3,3.3,2.4
NGC6401,173836.60,-235434.2,3.45,3.98,10.6,2.7,10.5,0.6,0.7
NGC6397,174042.09,-534027.6,338.17,-11.96,2.3,6.0,2.1,-0.8,-0.5
Pal6,174342.2,-261321,2.10,1.78,5.8,2.2,5.8,0.2,0.2
NGC6426,174454.65,+031012.5,28.09,16.23,20.6,14.4,17.4,9.3,5.8
Djorg1,174728.3,-330356,356.69,-2.47,13.7,5.7,13.6,-0.8,-0.6
Terzan5Terzan11,174804.80,-244645,3.84,1.69,6.9,1.2,0.6284,0.5,0.2
NGC6440,174852.70,-202136.9,7.73,3.80,8.5,1.3,8.4,1.1,0.6
NGC6441,175013.06,-370305.2,353.53,-5.01,11.6,3.9,11.5,-1.3,-1.0
Terzan6HP5,175046.38,-311631.4,358.57,-2.16,6.8,1.3,6.8,-0.2,-0.3
NGC6453,175051.70,-343557.0,355.72,-3.87,11.6,3.7,11.5,-0.9,7.7219
UKS1,175427.2,-240843,5.13,0.76,7.8,0.7,7.8,0.7,0.1
NGC6496,175903.68,-441557.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2.0
Terzan9,180138.8,-265023,3.61,-1.99,7.1,1.1,7.1,0.4,-0.2
Djorg2ESO456-SC38,180149.1,-274933,2.77,-2.50,6.3,5.3289,6.2,0.3,-0.3
NGC6517,180150.52,-085731.6,19.23,6.76,10.6,4.2,10.0,3.5,1.3
Terzan10,180336.4,-260421,4.49,-1.99,5.8,2.3,0.5207,0.5,-0.2
NGC6522,180334.02,-300202.3,1.02,-3.93,7.7,0.6,7.7,0.1,-0.5
NGC6535,180350.51,-001751.5,27.18,10.44,6.8,3.9,6.0,3.1,1.2
NGC6528,180449.64,-300322.6,1.14,-4.17,7.9,0.6,7.9,0.2,-0.6
NGC6539,180449.68,-073509.1,20.80,6.78,7.8,3.0,-2.5412,2.8,0.9
NGC6540Djorg3,180608.6,-274555,3.29,-3.31,5.3,2.8,5.2,0.3,-0.3
NGC6544,180720.58,-245950.4,5.84,-2.20,3.0,5.1,2.9,0.3,-0.1
NGC6541,180802.36,-434253.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5
2MS-GC012MASS-GC01,180821.81,-194947,10.48,0.11,3.6,4.5,3.5,0.7,0.3952
ESO-SC06ESO280-SC06,180906.0,-462523,346.90,-12.57,21.4,14.0,20.4,-4.7,-4.7
NGC6553,180917.60,-255431.3,5.26,-3.03,6.0,2.2,-3.1045,0.5,-0.3
2MS-GC022MASS-GC02,180936.50,-204644,9.79,-0.61,4.9,12.2266,4.9,0.8,-0.1
NGC6558,181017.60,-314550.0,0.20,-6.02,7.4,1.0,7.3,0.0,-0.8
IC1276Pal7,181044.20,-071227.4,21.83,5.67,5.4,3.7,5.0,2.0,0.5
Terzan12,181215.8,-224431,8.37,-2.10,4.8,3.4,4.7,0.7,-0.2
NGC6569,181338.80,-314936.8,0.48,-6.68,10.9,3.1,10.8,0.1,-1.3
BH261AL3,181406.6,-283806,3.36,-5.27,6.5,1.7,-3.3578,0.4,-0.6
GLIMPSE02,181830.5,-165838,14.14,-0.64,5.5,3.0,5.4,1.4,-0.1
NGC6584,181837.60,-521256.8,342.14,-16.41,13.5,7.0,12.3,-4.0,-3.8
NGC6624,182340.51,-302139.7,2.79,-7.91,7.9,10.9351,7.8,0.4,-1.1
NGC6626M28,182432.81,-245211.2,7.80,-5.58,5.5,9.5026,5.4,0.7,-0.5
NGC6638,183056.10,-252950.9,7.90,-7.15,9.4,2.2,-0.2799,1.3,-1.2
NGC6637M69,183123.10,-322053.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6
NGC6642,183154.10,-232830.7,9.81,-6.44,8.1,1.7,8.0,1.4,-1.265
NGC6652,183545.63,-325926.6,1.53,-11.38,10.0,2.7,0.153,0.3,-2.0
NGC6656M22,183623.94,-235417.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4
Pal8,184129.9,-194933,14.11,-6.79,517.9165,5.5,12.3,3.1,-1.5
NGC6681M70,184312.76,-321731.6,2.85,-12.51,9.0,2.2,8.8,0.4,-2.0
GLIMPSE01,184849.7,-012950,31.31,-0.10,4.2,4.9,3.6,2.2,0.0
NGC6712,185304.30,-084222.0,25.35,-4.32,6.9,3.5,6.3,3.0,-0.5
NGC6715M54,185503.33,-302847.5,5.61,-14.09,694.4574,18.9,25.6,2.5,-6.5
NGC6717Pal9,185506.04,-224205.3,12.88,-10.90,7.1,2.4,6.8,1.6,-1.3
NGC6723,185933.15,-363756.1,0.07,-17.30,8.7,2.6,8.3,0.0,8.698
NGC6749,190515.3,+015403,36.20,-2.21,7.9,5.0,6.4,4.7,-0.3
NGC6752,191052.11,-595904.4,336.49,-25.63,4.0,5.2,3.3,-1.4,-1.7
NGC6760,191112.01,+010149.7,36.11,-3.92,7.4,4.8,5.9,4.3,-0.5
NGC6779M56,191635.57,+301100.5,62.66,8.34,9.4,9.2,4.3,8.3,1.4
Terzan7,191743.92,-343927.8,3.39,-20.07,22.8,15.6,21.4,1.3,-7.8
Pal10,191802.1,+183418,52.43,2.72,5.9,6.4,3.6,4.7,0.3
Arp2,192844.11,-302120.3,8.55,-20.79,113.9673,21.4,26.4,4.0,-10.2
NGC6809M55,193959.71,-305753.1,8.79,-23.27,5.4,3.9,4.9,0.8,-2.1
Terzan8,194144.41,-335958.1,5.76,-24.56,32.6924,19.4,23.8,2.4,-10.9
Pal11,194514.4,-080026,31.81,-15.57,13.4,8.2,11.0,6.8,-1.8428
NGC6838M71,195346.49,+184645.1,56.75,-4.56,4.0,6.7,2.2,3.4,-0.3
NGC6864M75,200604.69,-215516.2,20.30,-25.75,20.9,14.7,2.0462,6.5,-9.1
NGC6934,203411.37,+072416.1,52.10,-18.89,15.6,12.8,9.1,11.7,-5.1
NGC6981M72,205327.70,-123214.3,35.16,-32.68,-47.0305,12.9,11.7,8.3,-9.2
NGC7006,210129.38,+161114.4,63.77,-19.41,41.2,38.5,17.2,34.8,-13.7
NGC7078M15,212958.33,+121001.2,65.01,-27.31,10.4,10.4,3.9,8.3,-4.8
NGC7089M2,213327.02,-004923.7,53.37,-35.77,11.5,10.4,5.6,7.5,10.7696
NGC7099M30,214022.12,-231047.5,27.18,-46.84,8.1,7.1,4.9,2.5,-5.9
Pal12,214638.84,-211509.4,30.51,-47.68,19.0,15.8,11.0,6.5,-14.1
Pal13,230644.44,+124619.2,87.10,-42.70,26.0,26.9,1.0,19.1,-17.6
NGC7492,230826.63,-153641.4,53.39,-63.48,26.3,25.3,7.0,9.4,-15.8776
