#   m*(Mo)      B       V       R      (B-V)   (B-R)   (V-R)
 0.100000000  14.373  12.815  11.868   1.558   2.505   0.947
 0.120000000  13.117  11.798  10.967   1.319   2.150   0.831
 0.140000000  12.531  11.283  10.497   1.248   2.034   0.786
 0.160000000  12.128  10.916  10.155   1.212   1.973   0.761
 0.200000000  11.536  10.370   9.644   1.166   1.892   0.726
 0.250000000  11.000   9.870   9.171   1.130   1.829   0.699
 0.300000010  10.574   9.471   8.793   1.103   1.781   0.678
 0.383123160   9.970   8.903   8.253   1.067   1.717   0.650
 0.374021260  10.034   8.965   8.312   1.069   1.722   0.653
 0.400000010   9.880   8.822   8.179   1.058   1.701   0.643
 0.449999990   9.481   8.454   7.836   1.027   1.645   0.618
 0.463222980   9.340   8.328   7.720   1.012   1.620   0.608
 0.472392200   9.244   8.242   7.642   1.002   1.602   0.600
 0.476195660   9.202   8.204   7.608   0.998   1.594   0.596
 0.478627230   9.174   8.179   7.585   0.995   1.589   0.594
 0.480065640   9.157   8.163   7.570   0.994   1.587   0.593
 0.500000000   9.015   8.036   7.456   0.979   1.559   0.580
 0.550000010   8.463   7.551   7.021   0.912   1.442   0.530
 0.600000020   7.879   7.047   6.573   0.832   1.306   0.474
 0.623468940   7.610   6.823   6.371   0.787   1.239   0.452
 0.649999980   7.317   6.580   6.154   0.737   1.163   0.426
 0.699999990   6.787   6.154   5.773   0.633   1.014   0.381
 0.750000000   6.326   5.776   5.431   0.550   0.895   0.345
 0.800000010   5.916   5.429   5.112   0.487   0.804   0.317
 0.805912550   5.870   5.389   5.076   0.481   0.794   0.313
 0.850000020   5.537   5.100   4.809   0.437   0.728   0.291
 0.863305810   5.441   5.015   4.731   0.426   0.710   0.284
 0.899999980   5.184   4.787   4.519   0.397   0.665   0.268
 0.948095140   4.861   4.501   4.256   0.360   0.605   0.245
 0.949999990   4.849   4.490   4.245   0.359   0.604   0.245
 0.968040530   4.733   4.386   4.150   0.347   0.583   0.236
 1.000000000   4.530   4.205   3.985   0.325   0.545   0.220
 1.017893670   4.418   4.106   3.896   0.312   0.522   0.210
 1.049999950   4.222   3.932   3.738   0.290   0.484   0.194
 1.063239460   4.142   3.862   3.676   0.280   0.466   0.186
 1.100000020   3.925   3.671   3.508   0.254   0.417   0.163
 1.149999980   3.638   3.425   3.297   0.213   0.341   0.128
 1.187484620   3.435   3.253   3.150   0.182   0.285   0.103
 1.200000050   3.370   3.198   3.104   0.172   0.266   0.094
 1.247394920   3.133   3.000   2.936   0.133   0.197   0.064
 1.250000000   3.122   2.990   2.927   0.132   0.195   0.063
 1.261718030   3.070   2.948   2.891   0.122   0.179   0.057
 1.299999950   2.902   2.809   2.772   0.093   0.130   0.037
 1.311083790   2.854   2.769   2.737   0.085   0.117   0.032
 1.350000020   2.704   2.642   2.622   0.062   0.082   0.020
 1.373616340   2.616   2.566   2.552   0.050   0.064   0.014
 1.399594190   2.520   2.482   2.476   0.038   0.044   0.006
 1.399999980   2.518   2.481   2.475   0.037   0.043   0.006
 1.406789420   2.495   2.461   2.456   0.034   0.039   0.005
 1.450000050   2.347   2.330   2.332   0.017   0.015  -0.002
 1.488649730   2.210   2.206   2.215   0.004  -0.005  -0.009
 1.500000000   2.169   2.170   2.180  -0.001  -0.011  -0.010
 1.530827050   2.064   2.073   2.085  -0.009  -0.021  -0.012
 1.549999950   1.997   2.010   2.024  -0.013  -0.027  -0.014
 1.575644850   1.902   1.920   1.935  -0.018  -0.033  -0.015
 1.597481250   1.817   1.839   1.854  -0.022  -0.037  -0.015
 1.600000020   1.807   1.829   1.844  -0.022  -0.037  -0.015
 1.624188180   1.710   1.734   1.750  -0.024  -0.040  -0.016
 1.647850280   1.607   1.634   1.650  -0.027  -0.043  -0.016
 1.649999980   1.597   1.624   1.640  -0.027  -0.043  -0.016
 1.658923510   1.558   1.585   1.600  -0.027  -0.042  -0.015
 1.681094410   1.450   1.477   1.492  -0.027  -0.042  -0.015
 1.700000050   1.354   1.380   1.394  -0.026  -0.040  -0.014
 1.705877540   1.324   1.349   1.363  -0.025  -0.039  -0.014
 1.726799490   1.200   1.222   1.234  -0.022  -0.034  -0.012
 1.745202900   1.088   1.105   1.114  -0.017  -0.026  -0.009
 1.750000000   1.058   1.074   1.082  -0.016  -0.024  -0.008
 1.751023050   1.052   1.068   1.075  -0.016  -0.023  -0.007
 1.766590950   0.948   0.957   0.960  -0.009  -0.012  -0.003
 1.776184080   0.883   0.891   0.893  -0.008  -0.010  -0.002
 1.782491920   0.852   0.869   0.875  -0.017  -0.023  -0.006
 1.784943820   0.847   0.874   0.884  -0.027  -0.037  -0.010
 1.785891290   0.854   0.890   0.904  -0.036  -0.050  -0.014
 1.786350970   0.857   0.902   0.920  -0.045  -0.063  -0.018
 1.786595700   0.855   0.907   0.927  -0.052  -0.072  -0.020
 1.786792040   0.848   0.907   0.930  -0.059  -0.082  -0.023
 1.786902070   0.866   0.918   0.938  -0.052  -0.072  -0.020
 1.786988970   0.831   0.875   0.892  -0.044  -0.061  -0.017
