Filename,Mean Distance,# Zones,Age (Myr),z
bvr_0.008_5000Myr.dat,0.0364183,156,5000,0.008
bvr_0.008_4750Myr.dat,0.051881,135,4750,0.008
bvr_0.008_4500Myr.dat,0.0757066,109,4500,0.008
bvr_0.008_4250Myr.dat,0.0913676,89,4250,0.008
bvr_0.016_5500Myr.dat,0.0663811,81,5500,0.016
bvr_0.016_6500Myr.dat,0.1139872,81,6500,0.016
bvr_0.016_6000Myr.dat,0.1034466,73,6000,0.016
bvr_0.016_5000Myr.dat,0.0887342,72,5000,0.016
bvr_0.020_5500Myr.dat,0.0767246,66,5500,0.02
bvr_0.008_4000Myr.dat,0.1239694,65,4000,0.008
bvr_0.008_3750Myr.dat,0.0978083,64,3750,0.008
bvr_0.008_7000Myr.dat,0.1094205,63,7000,0.008
bvr_0.001_3750Myr.dat,0.0925926,62,3750,0.001
bvr_0.008_6000Myr.dat,0.0900463,62,6000,0.008
bvr_0.016_3750Myr.dat,0.1110957,57,3750,0.016
bvr_0.008_3500Myr.dat,0.098963,56,3500,0.008
bvr_0.020_6000Myr.dat,0.0786908,53,6000,0.02
bvr_0.020_5000Myr.dat,0.0998617,53,5000,0.02
bvr_0.008_5500Myr.dat,0.1187392,52,5500,0.008
bvr_0.020_6500Myr.dat,0.106153,51,6500,0.02
bvr_0.001_3500Myr.dat,0.0873958,51,3500,0.001
bvr_0.008_3250Myr.dat,0.0959366,47,3250,0.008
bvr_0.008_6500Myr.dat,0.1503231,46,6500,0.008
bvr_0.020_2000Myr.dat,0.112509,46,2000,0.02
bvr_0.016_7000Myr.dat,0.1160074,45,7000,0.016
bvr_0.020_2250Myr.dat,0.1145105,44,2250,0.02
bvr_0.001_3250Myr.dat,0.1022822,42,3250,0.001
bvr_0.020_7000Myr.dat,0.1135096,41,7000,0.02
bvr_0.001_9500Myr.dat,0.09306,41,9500,0.001
bvr_0.020_4750Myr.dat,0.1198195,40,4750,0.02
bvr_0.016_4000Myr.dat,0.1709695,40,4000,0.016
bvr_0.016_4250Myr.dat,0.1234163,39,4250,0.016
bvr_0.001_2750Myr.dat,0.093363,39,2750,0.001
bvr_0.008_7500Myr.dat,0.1355608,38,7500,0.008
bvr_0.020_4000Myr.dat,0.1246654,37,4000,0.02
bvr_0.001_9000Myr.dat,0.0964776,37,9000,0.001
bvr_0.016_4500Myr.dat,0.109928,35,4500,0.016
bvr_0.001_6500Myr.dat,0.1554912,35,6500,0.001
bvr_0.001_7000Myr.dat,0.1243499,34,7000,0.001
bvr_0.016_4750Myr.dat,0.1060973,34,4750,0.016
bvr_0.001_4500Myr.dat,0.1189481,33,4500,0.001
bvr_0.001_4750Myr.dat,0.1053176,33,4750,0.001
bvr_0.001_5000Myr.dat,0.1003368,32,5000,0.001
bvr_0.001_5500Myr.dat,0.1105067,32,5500,0.001
bvr_0.020_3750Myr.dat,0.1187633,31,3750,0.02
bvr_0.001_3000Myr.dat,0.1257072,31,3000,0.001
bvr_0.001_6000Myr.dat,0.1490383,30,6000,0.001
bvr_0.001_4000Myr.dat,0.1328837,29,4000,0.001
bvr_0.001_4250Myr.dat,0.1384396,28,4250,0.001
bvr_0.020_9000Myr.dat,0.0939006,27,9000,0.02
bvr_0.020_4250Myr.dat,0.1319619,27,4250,0.02
bvr_0.001_7500Myr.dat,0.1586917,26,7500,0.001
