Filename,Mean Distance,Mean Distance STD,# Zones
bvr_0.020_3000Myr.dat,0.106303,0.1037011,1
bvr_0.016_2750Myr.dat,0.266426,0.1287299,2
bvr_0.020_3500Myr.dat,0.3459186,0.102919,3
bvr_0.020_2750Myr.dat,0.1502012,0.0358537,3
bvr_0.020_2500Myr.dat,0.1794492,0.0468765,3
bvr_0.016_2500Myr.dat,0.1957901,0.0702839,3
bvr_0.016_2250Myr.dat,0.2399471,0.0737601,3
bvr_0.020_3250Myr.dat,0.2673189,0.0415654,4
bvr_0.016_3250Myr.dat,0.3135272,0.0956155,4
bvr_0.020_1750Myr.dat,0.2711867,0.0242034,5
bvr_0.016_3000Myr.dat,0.2399319,0.0396058,5
bvr_0.001_1000Myr.dat,0.1775761,0.057155,10
bvr_0.008_1500Myr.dat,0.2649793,0.0919753,10
bvr_0.008_1250Myr.dat,0.2678973,0.0794465,11
bvr_0.008_1000Myr.dat,0.275704,0.0906006,12
bvr_0.008_9999Myr.dat,0.13514,0.0420339,12
bvr_0.020_9999Myr.dat,0.0931828,0.0144001,12
bvr_0.001_2250Myr.dat,0.1271305,0.0456474,12
bvr_0.001_1250Myr.dat,0.1553023,0.0489641,12
bvr_0.016_2000Myr.dat,0.3523229,0.0359107,13
bvr_0.016_9999Myr.dat,0.0914367,0.027323,13
bvr_0.020_1000Myr.dat,0.2695182,0.10294,13
bvr_0.001_2000Myr.dat,0.1223045,0.0440286,13
bvr_0.001_1750Myr.dat,0.1356325,0.0470771,13
bvr_0.020_1500Myr.dat,0.2581849,0.0573628,14
bvr_0.001_2500Myr.dat,0.1458738,0.0413761,14
bvr_0.016_9500Myr.dat,0.0882527,0.0332033,15
bvr_0.001_8500Myr.dat,0.2007375,0.02532,15
bvr_0.008_2500Myr.dat,0.1893139,0.0796858,15
bvr_0.020_1250Myr.dat,0.2906646,0.0861356,16
bvr_0.016_3500Myr.dat,0.2975344,0.0439977,16
bvr_0.008_1750Myr.dat,0.2555166,0.0712044,16
bvr_0.008_2250Myr.dat,0.2090475,0.0767001,18
bvr_0.008_3000Myr.dat,0.2161053,0.0612971,18
bvr_0.008_2000Myr.dat,0.2222502,0.0711502,19
bvr_0.016_1750Myr.dat,0.2565769,0.063132,19
bvr_0.008_2750Myr.dat,0.2045527,0.0724492,19
bvr_0.016_1000Myr.dat,0.2841398,0.0725324,19
bvr_0.008_9000Myr.dat,0.1376146,0.0317372,19
bvr_0.020_9500Myr.dat,0.0965769,0.0097794,20
bvr_0.020_7500Myr.dat,0.0922771,0.0181138,20
bvr_0.016_7500Myr.dat,0.093633,0.0197906,21
bvr_0.020_4500Myr.dat,0.1329377,0.0158898,22
bvr_0.016_8000Myr.dat,0.0925057,0.0118826,22
bvr_0.016_8500Myr.dat,0.0914094,0.0162388,22
bvr_0.001_8000Myr.dat,0.1673908,0.0192402,22
bvr_0.016_9000Myr.dat,0.0851198,0.0210949,22
bvr_0.016_1500Myr.dat,0.234031,0.0792389,23
bvr_0.008_8500Myr.dat,0.1161591,0.0328923,23
bvr_0.020_8000Myr.dat,0.0828322,0.0099996,23
bvr_0.016_1250Myr.dat,0.2692429,0.0696848,24
bvr_0.001_9999Myr.dat,0.1217607,0.0148277,24
bvr_0.001_1500Myr.dat,0.092443,0.0297089,25
bvr_0.020_8500Myr.dat,0.0957995,0.0160026,25
bvr_0.001_7500Myr.dat,0.1586917,0.0205408,26
bvr_0.008_8000Myr.dat,0.1188277,0.0314656,26
bvr_0.008_9500Myr.dat,0.1097769,0.0227355,26
bvr_0.020_9000Myr.dat,0.0939006,0.0151553,27
bvr_0.020_4250Myr.dat,0.1319619,0.0235969,27
bvr_0.001_4250Myr.dat,0.1384396,0.0336097,28
bvr_0.001_4000Myr.dat,0.1328837,0.0296841,29
bvr_0.001_6000Myr.dat,0.1490383,0.0319893,30
bvr_0.001_3000Myr.dat,0.1257072,0.0232777,31
bvr_0.020_3750Myr.dat,0.1187633,0.0167874,31
bvr_0.001_5000Myr.dat,0.1003368,0.0357365,32
bvr_0.001_5500Myr.dat,0.1105067,0.03401,32
bvr_0.001_4500Myr.dat,0.1189481,0.0342976,33
bvr_0.001_4750Myr.dat,0.1053176,0.0341902,33
bvr_0.016_4750Myr.dat,0.1060973,0.0181762,34
bvr_0.001_7000Myr.dat,0.1243499,0.0298313,34
bvr_0.016_4500Myr.dat,0.109928,0.0184134,35
bvr_0.001_6500Myr.dat,0.1554912,0.0271592,35
bvr_0.001_9000Myr.dat,0.0964776,0.0176917,37
bvr_0.020_4000Myr.dat,0.1246654,0.0187701,37
bvr_0.008_7500Myr.dat,0.1355608,0.0187971,38
bvr_0.001_2750Myr.dat,0.093363,0.0262079,39
bvr_0.016_4250Myr.dat,0.1234163,0.0210976,39
bvr_0.020_4750Myr.dat,0.1198195,0.0085175,40
bvr_0.016_4000Myr.dat,0.1709695,0.0245449,40
bvr_0.001_9500Myr.dat,0.09306,0.0162284,41
bvr_0.020_7000Myr.dat,0.1135096,0.0085762,41
bvr_0.001_3250Myr.dat,0.1022822,0.0162054,42
bvr_0.020_2250Myr.dat,0.1145105,0.0294313,44
bvr_0.016_7000Myr.dat,0.1160074,0.0126855,45
bvr_0.020_2000Myr.dat,0.112509,0.0363256,46
bvr_0.008_6500Myr.dat,0.1503231,0.022292,46
bvr_0.008_3250Myr.dat,0.0959366,0.021806,47
bvr_0.020_6500Myr.dat,0.106153,0.0140704,51
bvr_0.001_3500Myr.dat,0.0873958,0.0178862,51
bvr_0.008_5500Myr.dat,0.1187392,0.0291511,52
bvr_0.020_6000Myr.dat,0.0786908,0.0212729,53
bvr_0.020_5000Myr.dat,0.0998617,0.007217,53
bvr_0.008_3500Myr.dat,0.098963,0.022907,56
bvr_0.016_3750Myr.dat,0.1110957,0.0198958,57
bvr_0.001_3750Myr.dat,0.0925926,0.0174827,62
bvr_0.008_6000Myr.dat,0.0900463,0.0200221,62
bvr_0.008_7000Myr.dat,0.1094205,0.0167681,63
bvr_0.008_3750Myr.dat,0.0978083,0.0189649,64
bvr_0.008_4000Myr.dat,0.1239694,0.0173649,65
bvr_0.020_5500Myr.dat,0.0767246,0.0079534,66
bvr_0.016_5000Myr.dat,0.0887342,0.0129587,72
bvr_0.016_6000Myr.dat,0.1034466,0.0202515,73
bvr_0.016_6500Myr.dat,0.1139872,0.0151047,81
bvr_0.016_5500Myr.dat,0.0663811,0.0108195,81
bvr_0.008_4250Myr.dat,0.0913676,0.0153149,89
bvr_0.008_4500Myr.dat,0.0757066,0.0206422,109
bvr_0.008_4750Myr.dat,0.051881,0.0192766,135
bvr_0.008_5000Myr.dat,0.0364183,0.0142368,156
